Q0,A4
Q1,A3
Q2,A4
Q3,A4
Q4,A4
Q5,A1
Q6,A4
Q7,A2
Q8,A2
Q9,A3
Q10,A4
Q11,A1
Q12,A2
Q13,A3
Q14,A1
Q15,A4
Q16,A2
Q17,A3
Q18,A3
Q19,A2
Q20,A3
Q21,A4
Q22,A4
Q23,A1
Q24,A3
Q25,A4
Q26,A4
Q27,A4
Q28,A2
Q29,A1
Q30,A4
Q31,A3
Q32,A2
Q33,A4
Q34,A3
Q35,A3
Q36,A2
Q37,A4
Q38,A3
Q39,A2
Q40,A2
Q41,A1
Q42,A1
Q43,A2
Q44,A3
Q45,A1
Q46,A4
Q47,A2
Q48,A2
Q49,A4
Q50,A3
Q51,A1
Q52,A4
Q53,A3
Q54,A2
Q55,A1
Q56,A1
Q57,A3
Q58,A4
Q59,A0
Q60,A1
Q61,A3
Q62,A3
Q63,A3
Q64,A3
Q65,A1
Q66,A4
Q67,A2
Q68,A1
Q69,A3
Q70,A3
Q71,A1
Q72,A2
Q73,A2
Q74,A3
Q75,A3
Q76,A4
Q77,A3
Q78,A4
Q79,A2
Q80,A2
Q81,A1
Q82,A3
Q83,A2
Q84,A2
Q85,A4
Q86,A4
Q87,A2
Q88,A4
Q89,A1
Q90,A2
Q91,A2
Q92,A4
Q93,A0
Q94,A1
Q95,A1
Q96,A3
Q97,A2
Q98,A1
Q99,A1
Q100,A3
Q101,A1
Q102,A2
Q103,A1
Q104,A4
Q105,A1
Q106,A4
Q107,A1
Q108,A4
Q109,A3
Q110,A4
Q111,A3
Q112,A2
Q113,A1
Q114,A4
Q115,A2
Q116,A1
Q117,A4
Q118,A2
Q119,A2
Q120,A2
Q121,A3
Q122,A4
Q123,A4
Q124,A4
Q125,A1
Q126,A3
Q127,A3
Q128,A1
Q129,A3
Q130,A2
Q131,A3
Q132,A1
Q133,A2
Q134,A2
Q135,A4
Q136,A1
Q137,A3
Q138,A3
Q139,A1
Q140,A0
Q141,A3
Q142,A2
Q143,A4
Q144,A4
Q145,A4
Q146,A4
Q147,A1
Q148,A4
Q149,A3
Q150,A2
Q151,A1
Q152,A3
Q153,A3
Q154,A4
Q155,A3
Q156,A1
Q157,A2
Q158,A2
Q159,A2
Q160,A4
Q161,A4
Q162,A1
Q163,A2
Q164,A3
Q165,A1
Q166,A1
Q167,A4
Q168,A2
Q169,A3
Q170,A2
Q171,A4
Q172,A3
Q173,A1
Q174,A4
Q175,A2
Q176,A3
Q177,A1
Q178,A2
