item,truth
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,5
9,5
10,5
11,5
12,5
13,5
14,5
15,5
16,5
17,3
18,3
19,3
20,3
21,3
22,3
23,3
24,3
25,3
26,3
27,3
28,3
29,3
30,3
31,3
32,6
33,6
34,6
35,6
36,6
37,6
38,6
39,4
40,4
41,4
42,4
43,4
44,2
45,2
46,2
47,2
48,2
49,2
50,2
51,2
52,2
53,2
54,2
55,2
56,2
57,2
58,2
59,2
60,2
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,7
69,7
70,7
71,7
72,7
73,7
74,7
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,5
84,5
85,5
86,5
87,5
88,5
89,5
90,5
91,5
92,3
93,3
94,3
95,3
96,3
97,3
98,3
99,3
100,3
101,3
102,3
103,3
104,3
105,3
106,3
107,6
108,6
109,6
110,6
111,6
112,6
113,4
114,4
115,4
116,4
117,4
118,4
119,2
120,2
121,2
122,2
123,2
124,2
125,2
126,2
127,2
128,2
129,2
130,2
131,2
132,2
133,2
134,2
135,2
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,7
144,7
145,7
146,7
147,7
148,7
149,7
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,5
159,5
160,5
161,5
162,5
163,5
164,5
165,5
166,5
167,3
168,3
169,3
170,3
171,3
172,3
173,3
174,3
175,3
176,3
177,3
178,3
179,3
180,3
181,3
182,6
183,6
184,6
185,6
186,6
187,6
188,4
189,4
190,4
191,4
192,4
193,4
194,2
195,2
196,2
197,2
198,2
199,2
200,2
201,2
202,2
203,2
204,2
205,2
206,2
207,2
208,2
209,2
210,2
211,1
212,1
213,1
214,1
215,1
216,1
217,1
218,7
219,7
220,7
221,7
222,7
223,7
224,7
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,5
234,5
235,5
236,5
237,5
238,5
239,5
240,5
241,5
242,3
243,3
244,3
245,3
246,3
247,3
248,3
249,3
250,3
251,3
252,3
253,3
254,3
255,3
256,3
257,6
258,6
259,6
260,6
261,6
262,6
263,4
264,4
265,4
266,4
267,4
268,4
269,2
270,2
271,2
272,2
273,2
274,2
275,2
276,2
277,2
278,2
279,2
280,2
281,2
282,2
283,2
284,2
285,1
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,7
294,7
295,7
296,7
297,7
298,7
299,7
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,5
309,5
310,5
311,5
312,5
313,5
314,5
315,5
316,5
317,3
318,3
319,3
320,3
321,3
322,3
323,3
324,3
325,3
326,3
327,3
328,3
329,3
330,3
331,3
332,6
333,6
334,6
335,6
336,6
337,6
338,4
339,4
340,4
341,4
342,4
343,4
344,2
345,2
346,2
347,2
348,2
349,2
350,2
351,2
352,2
353,2
354,2
355,2
356,2
357,2
358,2
359,2
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,1
368,7
369,7
370,7
371,7
372,7
373,7
374,7
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,5
384,5
385,5
386,5
387,5
388,5
389,5
390,5
391,5
392,3
393,3
394,3
395,3
396,3
397,3
398,3
399,3
400,3
401,3
402,3
403,3
404,3
405,3
406,6
407,6
408,6
409,6
410,6
411,6
412,6
413,4
414,4
415,4
416,4
417,4
418,4
419,2
420,2
421,2
422,2
423,2
424,2
425,2
426,2
427,2
428,2
429,2
430,2
431,2
432,2
433,2
434,2
435,1
436,1
437,1
438,1
439,1
440,1
441,1
442,1
443,7
444,7
445,7
446,7
447,7
448,7
449,7
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,5
459,5
460,5
461,5
462,5
463,5
464,5
465,5
466,3
467,3
468,3
469,3
470,3
471,3
472,3
473,3
474,3
475,3
476,3
477,3
478,3
479,3
480,3
481,6
482,6
483,6
484,6
485,6
486,6
487,6
488,4
489,4
490,4
491,4
492,4
493,4
494,2
495,2
496,2
497,2
498,2
499,2
500,2
501,2
502,2
503,2
504,2
505,2
506,2
507,2
508,2
509,2
510,1
511,1
512,1
513,1
514,1
515,1
516,1
517,7
518,7
519,7
520,7
521,7
522,7
523,7
524,7
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,5
533,5
534,5
535,5
536,5
537,5
538,5
539,5
540,5
541,3
542,3
543,3
544,3
545,3
546,3
547,3
548,3
549,3
550,3
551,3
552,3
553,3
554,3
555,3
556,6
557,6
558,6
559,6
560,6
561,6
562,6
563,4
564,4
565,4
566,4
567,4
568,4
569,2
570,2
571,2
572,2
573,2
574,2
575,2
576,2
577,2
578,2
579,2
580,2
581,2
582,2
583,2
584,2
585,1
586,1
587,1
588,1
589,1
590,1
591,1
592,7
593,7
594,7
595,7
596,7
597,7
598,7
599,7
600,0
601,0
602,0
603,0
604,0
605,0
606,0
